population,inflation,exports,imports,income,gni,fdi,industry,agri,iso_code
2254100,4.97809676252292,39.7165589371598,87.8955799942689,5.6,1150,28001666.9222279,35.1435090590491,4.78413761009429,426
5087584,1.92096800566845,30.5289067989681,39.3637003432345,5.6,600,86960000,17.7079999638156,41.0519665820445,430
6653942,1.92096800566845,30.5289067989681,39.3637003432345,5.6,7890,470259041.875,23.2514238269639,7.4728799267029,434
2794885,1.19989444983569,73.2502233995053,63.9473524210029,5.6,19680,4478593693.35008,24.8669558848214,3.52058210977139,440
630419,0.819957302126994,199.619000865177,165.596791540086,5.6,79580,102268859379.605,11.33301812768,0.212408001749032,442
676283,0.81141051149158,61.5298010314702,59.5096337740107,5.6,44690,-7103969647.6667,8.44497760559295,7.4728799267029,446
2072531,1.20007348888482,57.7714758968318,70.4697821845457,5.6,5730,7693779.7036069,22.7433488020449,8.56904257773164,807
28225177,4.20179312190553,20.1420748831987,28.8686324818304,5.6,460,358467141.414302,19.4661871057193,24.6929443979329,450
19377061,8.62551469650552,30.5289067989681,39.3637003432345,5.6,580,45238934.1012044,18.4906809272364,22.6552060808202,454
33199993,-1.13870215393056,61.5992242595204,55.2293370944993,5.6,10320,4058769678.64231,35.9571227080395,8.16854724964739,458
514438,-1.3697742556981,49.4270918346685,68.3509799098356,5.6,6780,440711709.435094,11.8928216967194,8.00487942533302,462
